#, time, y[0], y[1], y[2], y[3], y[4]
0, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1, 0.040000, 0.248690, 0.000000, 0.000000, 0.000000, 0.000000
2, 0.080000, 0.481754, 0.248690, 0.000000, 0.000000, 0.000000
3, 0.120000, 0.684547, 0.481754, 0.248690, 0.000000, 0.000000
4, 0.160000, 0.844328, 0.684547, 0.481754, 0.248690, 0.000000
5, 0.200000, 0.951057, 0.844328, 0.684547, 0.481754, 0.248690
6, 0.240000, 0.998027, 0.951057, 0.844328, 0.684547, 0.481754
7, 0.280000, 0.982287, 0.998027, 0.951057, 0.844328, 0.684547
8, 0.320000, 0.904827, 0.982287, 0.998027, 0.951057, 0.844328
9, 0.360000, 0.770513, 0.904827, 0.982287, 0.998027, 0.951057
10, 0.400000, 0.587785, 0.770513, 0.904827, 0.982287, 0.998027
11, 0.440000, 0.368125, 0.587785, 0.770513, 0.904827, 0.982287
12, 0.480000, 0.125333, 0.368125, 0.587785, 0.770513, 0.904827
13, 0.520000, -0.125333, 0.125333, 0.368125, 0.587785, 0.770513
14, 0.560000, -0.368125, -0.125333, 0.125333, 0.368125, 0.587785
15, 0.600000, -0.587785, -0.368125, -0.125333, 0.125333, 0.368125
16, 0.640000, -0.770513, -0.587785, -0.368125, -0.125333, 0.125333
17, 0.680000, -0.904827, -0.770513, -0.587785, -0.368125, -0.125333
18, 0.720000, -0.982287, -0.904827, -0.770513, -0.587785, -0.368125
19, 0.760000, -0.998027, -0.982287, -0.904827, -0.770513, -0.587785
20, 0.800000, -0.951057, -0.998027, -0.982287, -0.904827, -0.770513
21, 0.840000, -0.844328, -0.951057, -0.998027, -0.982287, -0.904827
22, 0.880000, -0.684547, -0.844328, -0.951057, -0.998027, -0.982287
23, 0.920000, -0.481754, -0.684547, -0.844328, -0.951057, -0.998027
24, 0.960000, -0.248690, -0.481754, -0.684547, -0.844328, -0.951057
25, 1.000000, -0.000000, -0.248690, -0.481754, -0.684547, -0.844328
26, 1.040000, 0.248690, -0.000000, -0.248690, -0.481754, -0.684547
27, 1.080000, 0.481754, 0.248690, -0.000000, -0.248690, -0.481754
28, 1.120000, 0.684547, 0.481754, 0.248690, -0.000000, -0.248690
29, 1.160000, 0.844328, 0.684547, 0.481754, 0.248690, -0.000000
30, 1.200000, 0.951057, 0.844328, 0.684547, 0.481754, 0.248690
31, 1.240000, 0.998027, 0.951057, 0.844328, 0.684547, 0.481754
32, 1.280000, 0.982287, 0.998027, 0.951057, 0.844328, 0.684547
33, 1.320000, 0.904827, 0.982287, 0.998027, 0.951057, 0.844328
34, 1.360000, 0.770513, 0.904827, 0.982287, 0.998027, 0.951057
35, 1.400000, 0.587785, 0.770513, 0.904827, 0.982287, 0.998027
36, 1.440000, 0.368125, 0.587785, 0.770513, 0.904827, 0.982287
37, 1.480000, 0.125333, 0.368125, 0.587785, 0.770513, 0.904827
38, 1.520000, -0.125333, 0.125333, 0.368125, 0.587785, 0.770513
39, 1.560000, -0.368125, -0.125333, 0.125333, 0.368125, 0.587785
40, 1.600000, -0.587785, -0.368125, -0.125333, 0.125333, 0.368125
41, 1.640000, -0.770513, -0.587785, -0.368125, -0.125333, 0.125333
42, 1.680000, -0.904827, -0.770513, -0.587785, -0.368125, -0.125333
43, 1.720000, -0.982287, -0.904827, -0.770513, -0.587785, -0.368125
44, 1.760000, -0.998027, -0.982287, -0.904827, -0.770513, -0.587785
45, 1.800000, -0.951057, -0.998027, -0.982287, -0.904827, -0.770513
46, 1.840000, -0.844328, -0.951057, -0.998027, -0.982287, -0.904827
47, 1.880000, -0.684547, -0.844328, -0.951057, -0.998027, -0.982287
48, 1.920000, -0.481754, -0.684547, -0.844328, -0.951057, -0.998027
49, 1.960000, -0.248690, -0.481754, -0.684547, -0.844328, -0.951057
50, 2.000000, -0.000000, -0.248690, -0.481754, -0.684547, -0.844328
51, 2.040000, 0.248690, -0.000000, -0.248690, -0.481754, -0.684547
52, 2.080000, 0.481754, 0.248690, -0.000000, -0.248690, -0.481754
53, 2.120000, 0.684547, 0.481754, 0.248690, -0.000000, -0.248690
54, 2.160000, 0.844328, 0.684547, 0.481754, 0.248690, -0.000000
55, 2.200000, 0.951057, 0.844328, 0.684547, 0.481754, 0.248690
56, 2.240000, 0.998027, 0.951057, 0.844328, 0.684547, 0.481754
57, 2.280000, 0.982287, 0.998027, 0.951057, 0.844328, 0.684547
58, 2.320000, 0.904827, 0.982287, 0.998027, 0.951057, 0.844328
59, 2.360000, 0.770513, 0.904827, 0.982287, 0.998027, 0.951057
60, 2.400000, 0.587785, 0.770513, 0.904827, 0.982287, 0.998027
61, 2.440000, 0.368125, 0.587785, 0.770513, 0.904827, 0.982287
62, 2.480000, 0.125333, 0.368125, 0.587785, 0.770513, 0.904827
63, 2.520000, -0.125333, 0.125333, 0.368125, 0.587785, 0.770513
64, 2.560000, -0.368125, -0.125333, 0.125333, 0.368125, 0.587785
65, 2.600000, -0.587785, -0.368125, -0.125333, 0.125333, 0.368125
66, 2.640000, -0.770513, -0.587785, -0.368125, -0.125333, 0.125333
67, 2.680000, -0.904827, -0.770513, -0.587785, -0.368125, -0.125333
68, 2.720000, -0.982287, -0.904827, -0.770513, -0.587785, -0.368125
69, 2.760000, -0.998027, -0.982287, -0.904827, -0.770513, -0.587785
70, 2.800000, -0.951057, -0.998027, -0.982287, -0.904827, -0.770513
71, 2.840000, -0.844328, -0.951057, -0.998027, -0.982287, -0.904827
72, 2.880000, -0.684547, -0.844328, -0.951057, -0.998027, -0.982287
73, 2.920000, -0.481754, -0.684547, -0.844328, -0.951057, -0.998027
74, 2.960000, -0.248690, -0.481754, -0.684547, -0.844328, -0.951057
75, 3.000000, -0.000000, -0.248690, -0.481754, -0.684547, -0.844328
76, 3.040000, 0.248690, -0.000000, -0.248690, -0.481754, -0.684547
77, 3.080000, 0.481754, 0.248690, -0.000000, -0.248690, -0.481754
78, 3.120000, 0.684547, 0.481754, 0.248690, -0.000000, -0.248690
79, 3.160000, 0.844328, 0.684547, 0.481754, 0.248690, -0.000000
80, 3.200000, 0.951057, 0.844328, 0.684547, 0.481754, 0.248690
81, 3.240000, 0.998027, 0.951057, 0.844328, 0.684547, 0.481754
82, 3.280000, 0.982287, 0.998027, 0.951057, 0.844328, 0.684547
83, 3.320000, 0.904827, 0.982287, 0.998027, 0.951057, 0.844328
84, 3.360000, 0.770513, 0.904827, 0.982287, 0.998027, 0.951057
85, 3.400000, 0.587785, 0.770513, 0.904827, 0.982287, 0.998027
86, 3.440000, 0.368125, 0.587785, 0.770513, 0.904827, 0.982287
87, 3.480000, 0.125333, 0.368125, 0.587785, 0.770513, 0.904827
88, 3.520000, -0.125333, 0.125333, 0.368125, 0.587785, 0.770513
89, 3.560000, -0.368125, -0.125333, 0.125333, 0.368125, 0.587785
90, 3.600000, -0.587785, -0.368125, -0.125333, 0.125333, 0.368125
91, 3.640000, -0.770513, -0.587785, -0.368125, -0.125333, 0.125333
92, 3.680000, -0.904827, -0.770513, -0.587785, -0.368125, -0.125333
93, 3.720000, -0.982287, -0.904827, -0.770513, -0.587785, -0.368125
94, 3.760000, -0.998027, -0.982287, -0.904827, -0.770513, -0.587785
95, 3.800000, -0.951057, -0.998027, -0.982287, -0.904827, -0.770513
96, 3.840000, -0.844328, -0.951057, -0.998027, -0.982287, -0.904827
97, 3.880000, -0.684547, -0.844328, -0.951057, -0.998027, -0.982287
98, 3.920000, -0.481754, -0.684547, -0.844328, -0.951057, -0.998027
99, 3.960000, -0.248690, -0.481754, -0.684547, -0.844328, -0.951057
100, 4.000000, -0.000000, -0.248690, -0.481754, -0.684547, -0.844328
101, 4.040000, 0.248690, -0.000000, -0.248690, -0.481754, -0.684547
102, 4.080000, 0.481754, 0.248690, -0.000000, -0.248690, -0.481754
103, 4.120000, 0.684547, 0.481754, 0.248690, -0.000000, -0.248690
104, 4.160000, 0.844328, 0.684547, 0.481754, 0.248690, -0.000000
105, 4.200000, 0.951057, 0.844328, 0.684547, 0.481754, 0.248690
106, 4.240000, 0.998027, 0.951057, 0.844328, 0.684547, 0.481754
107, 4.280000, 0.982287, 0.998027, 0.951057, 0.844328, 0.684547
108, 4.320000, 0.904827, 0.982287, 0.998027, 0.951057, 0.844328
109, 4.360000, 0.770513, 0.904827, 0.982287, 0.998027, 0.951057
110, 4.400000, 0.587785, 0.770513, 0.904827, 0.982287, 0.998027
111, 4.440000, 0.368125, 0.587785, 0.770513, 0.904827, 0.982287
112, 4.480000, 0.125333, 0.368125, 0.587785, 0.770513, 0.904827
113, 4.520000, -0.125333, 0.125333, 0.368125, 0.587785, 0.770513
114, 4.560000, -0.368125, -0.125333, 0.125333, 0.368125, 0.587785
115, 4.600000, -0.587785, -0.368125, -0.125333, 0.125333, 0.368125
116, 4.640000, -0.770513, -0.587785, -0.368125, -0.125333, 0.125333
117, 4.680000, -0.904827, -0.770513, -0.587785, -0.368125, -0.125333
118, 4.720000, -0.982287, -0.904827, -0.770513, -0.587785, -0.368125
119, 4.760000, -0.998027, -0.982287, -0.904827, -0.770513, -0.587785
120, 4.800000, -0.951057, -0.998027, -0.982287, -0.904827, -0.770513
121, 4.840000, -0.844328, -0.951057, -0.998027, -0.982287, -0.904827
122, 4.880000, -0.684547, -0.844328, -0.951057, -0.998027, -0.982287
123, 4.920000, -0.481754, -0.684547, -0.844328, -0.951057, -0.998027
124, 4.960000, -0.248690, -0.481754, -0.684547, -0.844328, -0.951057
125, 5.000000, -0.000000, -0.248690, -0.481754, -0.684547, -0.844328
